text
възлюбваха is related to възлюбвам.
залисваха is related to залисвам.
глътвало is related to глътвам.
констатирали is related to констатирам.
завръщате is related to завръщам.
блещукайки is related to блещукам.
надварващия is related to надварвам.
грубиянствувала is related to грубиянствувам.
надиганите is related to надигам.
домъквалият is related to домъквам.
антиката is related to антика.
жалвам is related to porter plainte.
интересчийка is derived from интерес.
загноясващите is related to загноясвам.
бода is related to coudre.
надвесващо is related to надвесвам.
grün is a synonym of зелен.
взиждана is related to взиждам.
заблажващите is related to заблажвам.
кадърен is the opposite of некадърен.
блъфирани is related to блъфирам.
втечнявах is related to втечнявам.
имате ли нужда от помощ has context of polite.
докарайки is related to докарам.
копираното is related to копирам.
изчезвали is related to изчезвам.
деоксидирате is related to деоксидирам.
запояваното is related to запоявам.
дослушвани is related to дослушвам.
билети is related to билет.
изтипосваш is related to изтипосвам.
таса is related to тас.
градуса is related to градуси.
костюмиращата is related to костюмирам.
къчовете is related to къч.
зашлевяващата is related to зашлевявам.
пролетници is related to пролетница.
наддаваща is related to наддавам.
инсинуират is related to инсинуирам.
кливер is related to foc.
затърчавалия is related to затърчавам.
изпросваният is related to изпросвам.
жлъчен мехур is a synonym of gallbladder.
блаженстваната is related to блаженствам.
инквизицията is related to инквизиция.
сънаследници is related to сънаследница.
изследвания is related to изследвам.
кощунствана is related to кощунствам.
избрисвани is related to избрисвам.
се is related to yourselves.
пръчката is related to пръчка.
кощунствах is related to кощунствам.
еквилибристи is related to еквилибриста.
долагаме is related to долагам.
износваш is related to износвам.
символика is related to symbolique.
замязваха is related to замязвам.
колективизирахме is related to колективизирам.
контролер has context of informatique.
екзекутирала is related to екзекутирам.
набоклучвало is related to набоклучвам.
изтърва is related to spoil.
експедирани is related to експедирам.
втасам is related to cuit.
картотекирахте is related to картотекирам.
дзънкате is related to дзънкам.
изохкваш is related to изохквам.
афоресвайки is related to афоресвам.
паши is related to паша.
изтръшкахме is related to изтръшкам.
затропван is related to затропвам.
изсвирващия is related to изсвирвам.
екащ is related to екам.
кебнекайсе is a synonym of kebnekaise.
размерите is related to размер.
заминавалия is related to заминавам.
кафе is a synonym of кафене.
moon is a synonym of луна.
жегвалите is related to жегвам.
врата is related to врат.
грохах is related to грохам.
донаждайте is related to донаждам.
запротестираните is related to запротестирам.
донаждахме is related to донаждам.
аперитив is related to saloon.
набичващият is related to набичвам.
въодушевяваха is related to въодушевявам.
допечатвай is related to допечатвам.
издрасках is related to издраскам.
залетявало is related to залетявам.
верига is related to chains.
жигосащият is related to жигосам.
вкаменяващото is related to вкаменявам.
доплувана is related to доплувам.
ленинистка is related to léniniste.
бръмващи is related to бръмвам.
надварвалия is related to надварвам.
милваният is related to милвам.
изпащащия is related to изпащам.
януари is distinct from март.
деморализираш is related to деморализирам.
водоразделът is related to водораздел.
автономия is related to автономист.
асоциирай is related to асоциирам.
люцерна is a synonym of alfalfa.
слово is a synonym of дума.
замезва is related to замезвам.
контрактувалия is related to контрактувам.
йодирайки is related to йодирам.
вулканизира is related to вулканизирам.
доварявахме is related to доварявам.
връцваната is related to връцвам.
встъпвалият is related to встъпвам.
дзънкаш is related to дзънкам.
жегвах is related to жегвам.
стиските is related to стиска.
изохкваните is related to изохквам.
ganges is a synonym of ганг.
ампутирате is related to ампутирам.
втикат is related to втикам.
гевреци is related to numéral.
боденият is related to бода.
конспирираха is related to конспирирам.
завеждалото is related to завеждам.
изнамирали is related to изнамирам.
отровност is derived from отрова.
изпокривания is related to изпокривам.
шкаф is related to armoire.
измръзвай is related to измръзвам.
блиндираната is related to блиндирам.
застаряваха is related to застарявам.
амалгамирала is related to амалгамирам.
бликаш is related to бликам.
довтасвам is related to survenir.
самарий is similar to прометий.
линчували is related to линчувам.
амортизираща is related to амортизирам.
закрещявало is related to закрещявам.
изпрасканият is related to изпраскам.
беся is related to hang.
комкахме is related to комкам.
изгребващия is related to изгребвам.
изографисва is related to изографисвам.
изтърчаваните is related to изтърчавам.
аметистов is related to amethystine.
забъркащото is related to забъркам.
лекота is a synonym of леснина.
кръвясащото is related to кръвясам.
интегриращия is related to интегрирам.
acide acétique is a synonym of ацетилхидроксид.
гороцвет is related to adonis.
гаврътваната is related to гаврътвам.
кактуса is related to кактуси.
заприпквахме is related to заприпквам.
контестиран is related to контестирам.
залутащ is related to залутам.
занемаряваща is related to занемарявам.
мърдахме is related to мърдам.
лагерувания is related to лагерувам.
euphrates is a synonym of ефрат.
бръчкаме is related to бръчкам.
диодите is related to диод.
задрусам is related to secouer.
баламосващото is related to баламосвам.
запротестиращото is related to запротестирам.
ники is a synonym of niki.
